uf;ano;chegadas
Acre;2015;25146
Acre;2016;27066
Acre;2017;28530
Acre;2018;31537
Acre;2019;30607
Acre;2020;6820
Acre;2021;322
Acre;2022;16461
Acre;2023;17205
Acre;2024;19816
Amapá;2015;18386
Amapá;2016;16507
Amapá;2017;25425
Amapá;2018;33383
Amapá;2019;36160
Amapá;2020;11635
Amapá;2021;2166
Amapá;2022;17240
Amapá;2023;31570
Amapá;2024;38918
Amazonas;2015;50290
Amazonas;2016;45364
Amazonas;2017;33627
Amazonas;2018;36064
Amazonas;2019;29306
Amazonas;2020;5762
Amazonas;2021;1373
Amazonas;2022;14354
Amazonas;2023;24072
Amazonas;2024;28514
Bahia;2015;151660
Bahia;2016;132339
Bahia;2017;157913
Bahia;2018;148637
Bahia;2019;152221
Bahia;2020;45151
Bahia;2021;7530
Bahia;2022;56644
Bahia;2023;92059
Bahia;2024;143605
Ceará;2015;78711
Ceará;2016;77514
Ceará;2017;74497
Ceará;2018;107420
Ceará;2019;112920
Ceará;2020;23287
Ceará;2021;17045
Ceará;2022;56552
Ceará;2023;71545
Ceará;2024;96882
Distrito Federal;2015;107208
Distrito Federal;2016;79356
Distrito Federal;2017;76747
Distrito Federal;2018;75672
Distrito Federal;2019;73860
Distrito Federal;2020;19013
Distrito Federal;2021;6638
Distrito Federal;2022;30772
Distrito Federal;2023;54006
Distrito Federal;2024;68469
Mato Grosso do Sul;2015;56601
Mato Grosso do Sul;2016;77028
Mato Grosso do Sul;2017;80270
Mato Grosso do Sul;2018;91518
Mato Grosso do Sul;2019;81392
Mato Grosso do Sul;2020;27204
Mato Grosso do Sul;2021;15923
Mato Grosso do Sul;2022;54344
Mato Grosso do Sul;2023;70277
Mato Grosso do Sul;2024;76557
Minas Gerais;2015;47929
Minas Gerais;2016;34099
Minas Gerais;2017;56504
Minas Gerais;2018;81850
Minas Gerais;2019;54424
Minas Gerais;2020;13701
Minas Gerais;2021;5755
Minas Gerais;2022;21593
Minas Gerais;2023;38526
Minas Gerais;2024;43287
Outras Unidades da Federação;2015;2988
Outras Unidades da Federação;2016;8259
Outras Unidades da Federação;2017;13177
Outras Unidades da Federação;2018;16644
Outras Unidades da Federação;2019;12536
Outras Unidades da Federação;2020;3919
Outras Unidades da Federação;2021;2044
Outras Unidades da Federação;2022;6950
Outras Unidades da Federação;2023;15304
Outras Unidades da Federação;2024;22473
Paraná;2015;758973
Paraná;2016;846387
Paraná;2017;892629
Paraná;2018;948388
Paraná;2019;1006752
Paraná;2020;296765
Paraná;2021;128721
Paraná;2022;522832
Paraná;2023;791536
Paraná;2024;912255
Pará;2015;20708
Pará;2016;38238
Pará;2017;30524
Pará;2018;28720
Pará;2019;26006
Pará;2020;5552
Pará;2021;1091
Pará;2022;10694
Pará;2023;21724
Pará;2024;33285
Pernambuco;2015;66232
Pernambuco;2016;62405
Pernambuco;2017;83151
Pernambuco;2018;121169
Pernambuco;2019;111920
Pernambuco;2020;24181
Pernambuco;2021;7650
Pernambuco;2022;31786
Pernambuco;2023;62559
Pernambuco;2024;70686
Rio Grande do Norte;2015;28580
Rio Grande do Norte;2016;29355
Rio Grande do Norte;2017;26598
Rio Grande do Norte;2018;28672
Rio Grande do Norte;2019;27888
Rio Grande do Norte;2020;8548
Rio Grande do Norte;2021;2021
Rio Grande do Norte;2022;12058
Rio Grande do Norte;2023;20368
Rio Grande do Norte;2024;25919
Rio Grande do Sul;2015;1080478
Rio Grande do Sul;2016;1106845
Rio Grande do Sul;2017;1270618
Rio Grande do Sul;2018;1087191
Rio Grande do Sul;2019;772686
Rio Grande do Sul;2020;499153
Rio Grande do Sul;2021;13373
Rio Grande do Sul;2022;474474
Rio Grande do Sul;2023;1000909
Rio Grande do Sul;2024;883662
Rio de Janeiro;2015;1375978
Rio de Janeiro;2016;1480121
Rio de Janeiro;2017;1355616
Rio de Janeiro;2018;1293342
Rio de Janeiro;2019;1252267
Rio de Janeiro;2020;377336
Rio de Janeiro;2021;101487
Rio de Janeiro;2022;652962
Rio de Janeiro;2023;1192814
Rio de Janeiro;2024;1528133
Roraima;2015;38026
Roraima;2016;33854
Roraima;2017;32868
Roraima;2018;13813
Roraima;2019;12471
Roraima;2020;2394
Roraima;2021;550
Roraima;2022;4653
Roraima;2023;8259
Roraima;2024;10868
Santa Catarina;2015;149133
Santa Catarina;2016;203662
Santa Catarina;2017;205470
Santa Catarina;2018;226362
Santa Catarina;2019;200746
Santa Catarina;2020;142008
Santa Catarina;2021;9228
Santa Catarina;2022;140533
Santa Catarina;2023;288429
Santa Catarina;2024;495358
São Paulo;2015;2248811
São Paulo;2016;2248297
São Paulo;2017;2144606
São Paulo;2018;2250994
São Paulo;2019;2358979
São Paulo;2020;634006
São Paulo;2021;422954
São Paulo;2022;1505129
São Paulo;2023;2107179
São Paulo;2024;2274932
